2019-05-02 16:28:01.509 [main] INFO  - [CEO, Andrey, Holenkov, 0, 200]
2019-05-02 16:28:01.513 [main] INFO  - [Manager, Evgeny, Petrov, 5, 500]
2019-05-02 16:28:01.513 [main] INFO  - [Junior Java Developer, Olga, Ivanova, 2, 400]
2019-05-02 19:15:57.312 [main] INFO  - [[CEO, Andrey, Holenkov, 0, 200], [Manager, Evgeny, Petrov, 5, 500], [Junior Java Developer, Olga, Ivanova, 2, 400]]
2019-05-02 19:34:40.202 [main] INFO  - [[CEO, Andrey, Holenkov, 0, 200], [Manager, Evgeny, Petrov, 5, 500], [Junior Java Developer, Olga, Ivanova, 2, 400]]
2019-05-02 19:36:37.875 [main] INFO  - [[CEO, Andrey, Holenkov, 0, 200], [Manager, Evgeny, Petrov, 5, 500], [Junior Java Developer, Olga, Ivanova, 2, 400]]
2019-05-02 19:46:41.445 [main] INFO  - [[CEO, Andrey, Holenkov, 0, 200], [Manager, Evgeny, Petrov, 5, 500], [Junior Java Developer, Olga, Ivanova, 2, 400]]
2019-05-02 19:46:41.451 [main] INFO  - [by.training.models.Employee@757942a1, by.training.models.Employee@4a87761d, by.training.models.Employee@66d1af89]
2019-05-02 19:47:13.180 [main] INFO  - [[CEO, Andrey, Holenkov, 0, 200], [Manager, Evgeny, Petrov, 5, 500], [Junior Java Developer, Olga, Ivanova, 2, 400]]
2019-05-02 19:47:13.186 [main] INFO  - [Employee [position=CEO, firstName=Andrey, lastName=Holenkov, experience=0, salary=200], Employee [position=Manager, firstName=Evgeny, lastName=Petrov, experience=5, salary=500], Employee [position=Junior Java Developer, firstName=Olga, lastName=Ivanova, experience=2, salary=400]]
2019-05-02 23:09:02.389 [main] INFO  - [[CEO, Andrey, Holenkov, 0, 200], [Manager, Evgeny, Petrov, 5, 500], [Junior Java Developer, Olga, Ivanova, 2, 400]]
2019-05-02 23:09:02.396 [main] INFO  - by.training.repository.EmployeesRepository@757942a1
2019-05-02 23:10:03.752 [main] INFO  - [[CEO, Andrey, Holenkov, 0, 200], [Manager, Evgeny, Petrov, 5, 500], [Junior Java Developer, Olga, Ivanova, 2, 400]]
2019-05-02 23:10:03.759 [main] INFO  - EmployeesRepository [employees=[null, Employee [position=Manager, firstName=Evgeny, lastName=Petrov, experience=5, salary=500], null]]
2019-05-02 23:11:03.349 [main] INFO  - [[Developer, Andrey, Holenkov, 0, 200], [Manager, Evgeny, Petrov, 5, 500], [QAEngineer, Olga, Ivanova, 2, 400]]
2019-05-02 23:11:03.357 [main] INFO  - EmployeesRepository [employees=[Employee [position=Developer, firstName=Andrey, lastName=Holenkov, experience=0, salary=200], Employee [position=Manager, firstName=Evgeny, lastName=Petrov, experience=5, salary=500], Employee [position=QAEngineer, firstName=Olga, lastName=Ivanova, experience=2, salary=400]]]
2019-05-03 20:27:50.240 [main] INFO  - [[Development, Junior Developer, Andrey, Holenkov, 1, 400], [Development, Senior Developer, Evgeny, Petrov, 5, 1600], [Development, Senior Developer, Ivan, Ivanov, 7, 1800], [Development, Middle Developer, Nataly, Gulevich, 3, 900], [Development, Middle Developer, Dmitry, Goman, 2, 1100], [Development, Team Lead, Alexander, Chorba, 6, 2500], [Development, Junior Developer, Tania, Kurs, 2, 550], [Managment, Project Manager, Pavel, Sidorov, 3, 2000], [Managment, Senior Project Manager, Alex, Mitrofanov, 5, 2300], [Managment, Sales Manager, Pavel, Prostov, 2, 770], [Managment, Junior Sales Manager, Alexey, Protas, 1, 500], [Managment, Product Manager, Alexander, Frolov, 3, 950], [Managment, Junior Sales Manager, Zinaida, Letova, 2, 600], [QA, Lead Tester, Olga, Mager, 4, 1400], [QA, Lead Tester, Katerina, Tamanovich, 5, 1800], [QA, Junior QA Engineer, Vladimir, Okulik, 1, 400], [QA, Junior QA Engineer, Konstantin, Orehov, 2, 450], [QA, Middle QA Engineer, Ury, Selvich, 2, 800], [QA, Middle QA Engineer, Dmitry, Marhonko, 3, 1000], [QA, Junior QA Engineer, Valery, Gorodko, 2, 480]]
